18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#18595	Ip 6s plus có gb cao hơn không nhỉ. Và trả góp thì như thế nào nhờ anh /chị tư vấn thêm
18||#18604	Shop cho mjh hỏi ..có máy cũ k ạ
18||#18607	admin cho e hỏi iPhone 6s Plus 32GB là bản quốc tế hay vn ạ. e cảm ơn!
18||#18612	combo khuyen mai giam một triệu la sao ad
18||#18628	6s plus 32g còn bị tróc sơn không vậy shop
18||#18636	mình mua trả góp trên trực tuyến đc không ạ ? ip6s+ còn màu sliver không ạ ??
18||#18650	E nay 17t, đag học lớp 11 cho e hỏi là có chuyển hàng đến tận nhà đc k ạ. Nếu e đến mua luôn k trả góp thì có cần ai đi theo k ạ
18||#18653	sao mình làm hồ sơ xong rồi mà sao vẫn chưa thấy thông báo gì nhỉ
18||#18687	Mua mua thì sao vậy shop
18||#18693	Tính là 0% nhưng đến khi trả hết tiền thì chắc phải lên thêm 10% nữa
18||#18700	Neu vao fpt shop thi co san hag luon ha ban
18||#18707	Vậy thì chịu rùi
18||#18711	Vì mình mới mua 6s+ ở shop mh sạc 100% pin mà dùng linh tinh.thi thoảng lướt wes lúc. Từ sáng tới h tổng time onl máy chắc dc tiếng mà pin sụt tới trên 20% add cho hỏi pin nvay là hao nhanh k ạ
18||#18719	shop ơi mình cần hỏi, mình có 2 chiếc iphone. 1 chiếc mình sạc 80% rùi tắt nguồn cất đi không dùng 1 tháng sau mở lên thấy hao 10% pin. điện thoại mình có bị sao không nhỉ?
18||#18721	chào shop
18||#18722	chào shop
18||#18726	chào shop
18||#18730	Mình đang dùng 6s plus mua tại fptshop mã vn/a sử dụng sim mobifone thì hiện tên nhà mạng MOBIFONE, trong khi cái 5s cũng mua tại fptshop mã vn/a dùng sim mobifone thì tên nhà mạng là Vn Mobifone. Mình chẳng hiểu làm sao.
18||#18734	6s plus này là máy sản xuất năm 2017 hay trước đó vậy ad?
18||#18735	cho m hỏi bên mình có phá được icloud k ạ để em mang máy qua sửa
18||#18738	Ok. Cam on ban
18||#18742	Dạ shop cho hỏi ,e ms mua con iPhone 6s puls người ta kêu e sạc 1 lần 8h mà ba lần , nhưng e sạc bình thường được hk shop
18||#18745	Cho mình hỏi mẹ mình mới em trai nghe máy có dk k ad
18||#18769	Cho hỏi tôi là nhân viên đang công tác cho FPT có được hỗ trợ gì khi mua sản phẩm của Fpt shop ko
18||#18772	FE Credit với Home Credit là 1 hả qtv
18||#18775	cho minh hoi iphone6 plus 32g phien ban gi vay
18||#18785	6s+ đều mã VN/A phải ko ad?
18||#18786	Shop mình ở nha trang có chương trình đó k. Nếu có rep tn mình nha ad thank.
18||#18792	Lam Sao moi biết phai hang chinh hang hay ko iPhone 6s Plus 32GB
18||#18811	Bạn cho mình hỏi đt iPhone 6 plus một số nơi khác bán thấy nghi là có modem MGAA2như thế nào mình ko hiểu ,có phải máy chính hãng ko
18||#18824	cho mình hỏi sản phẩm này là phiên bản lokc hay quốc tế vậy shop
18||#18839	32gb liệu có đủ dùng :(
18||#18843	2.296.000 đồng hàng tháng này đã bao gồm luôn tiền phí bảo hiểm 109.000 đồng, chưa tính phí thu hộ với tiền trả trước 10% mới có sự chênh lệch 7 trăm so với giá bán thẳng. Vậy cho mình hỏi phí bảo hiểm bỏ đi được không
18||#18845	Hồi trước e mua 1 con iPhone 6 nhung ko nhớ mua lúc nào , a cho thể kiêm tr mấy e mua lúc nào đc chứ
18||#18846	Anh ơi co thế kiêm tra giùm mấy em mua từ lúc nào đc ko ah
18||#18867	Muốn mua thì tới đâu ạ
18||#18872	tất cả màu đều giá giống nhau ạ ??
18||#18892	tôi mua điện thoại vi vo xem giới thiệu ghi 1060 tôi hỏi có đúng ko
18||#18898	chip 306 va chip 430 ai tot hon ah
18||#18905	cho mình hỏi loại v55 có mấy màu
18||#18908	Cho minh hoi lúc toi qua minh co tra may vivo y55 lúc minh mua 3690 nhug bi tru phi 20 Phan tram con lai la 2952 ngan gio minh muon mua lai may do thi gia la 2952 ngan luon phai k
18||#18911	cho minh hoi.minh mua may luc toi gia la 3690 neu z minh doi tra mat 20% thi tru het bao nhieu tien z
18||#18949	Làm sao để được trải nghiệm máy trước coi ưng ý không rồi mới quyết định mua
18||#18952	Trải nghiệm trước rồi mới mua được k
18||#18962	Sao khong co v3 va v3 max?
18||#19003	sản phẩm giao về có như trên này ko
18||#19010	Nó có những màu nào ạ
18||#19014	Trong hộp có những gì ạ
18||#19025	Minh mua roi tại minh mua dt gIa la 3tr6 sac du phong 2tram ruoi dan dt 99k tong cong la 4tr Ma Ming DC tang phiếu mua hang 300k vay Sao van thu cua minh 4trieu Sdt 01676626893
18||#19028	minh moi mua dt vivo Y55s gia 3690 sac du phong gia 250 dab man hình 99 tong la 4042 va DC tang phiếu mua hang 300 vay Sao van thu cua minh la 4042 mong LH minh sdt01649797867
18||#19050	cho mình hỏi vivo y55s có màu gì
18||#19072	Nếu kh tặng thẻ nhớ tui mua ở đây luôn thẻ nhớ 16g giống trong điện thoại luôn là bao nhiêu cái thẻ nhớ
18||#19073	Chào shop ạ tui năm nay 41 tủi muốn mua góp đk kh có tặng kèm ốp lưng trong hộp kh máy xài tốt kh camera chụp hình đk chứ có khuyến mãi thẻ nhớ 16g kh chất lượng tốt kh .v mong shop phản hồi
18||#19074	Máy kh hỗ trợ chống va đập à có ốp lưng kh có khuyến mãi quà tặng thẻ nhớ j kh
18||#19075	Máy này em ví dụ em muốn mua góp đk kh tháng góp nhiêu vậy bao nhiêu mới hết máy này sài tốt kh chụp hình đẹp kh bên trong có những gì xem phim chơi game đọc báo lướt fb tốt kh .
18||#19082	Qtv choi hỏi pin con này trâu ko ạ. Nếu ko đặt hàng online mà ra shop mua thẳng có đc combo quà tặng và pmh 300k ko ạ
18||#19083	Cho mình hỏi vivo đã dán màn hình chưa ạ
18||#19094	Con vivo y55s camera truoc chup ao qua hinh anh bi bet minh giam het che do luon ma hinh anh van bi ao nhu luc minh tang dan len.chac doi lay con y55 thuong thoi.
18||#19103	cho e xem hinh bộ quà
18||#19128	làm sao để chuyển sang thẻ SD được? Mình mua thẻ nhớ mà giờ không biết chuyển chỉ mình với. Với lại cho mình hỏi loa vivo tặng kèm theo xài sao vậy?Mình không thấy nút bật loa đâu hết?
18||#19134	mình mua hàng nhân viên lại bao là PMH không được trừ, phải mua phụ kiện
18||#19151	Chụp ảnh hay sefl có đẹp không vậy
18||#19158	mua ntnao
18||#19167	mua online thì có phiếu bảo hành không ạ? em sợ mua online không an toàn
18||#19177	Giao hàng tận nhà thì có cần trả trước k Nếu có thì em mới học sinh thì sao hả
18||#19211	fpshop còn hợp tác với ACs không ạ?
18||#19233	Máy có nhận sim con gà kg vậy ?
18||#19263	ad cho mình hỏi là shop có hàng mẫu để trải nghiệm trước khi mua ko vậy
18||#19265	cjo hoi dien thoai nay co hai camera chuc nhu the nao va co xoa phong
18||#19270	sử dụng có bị nổ ko ak
18||#19281	Đang định mua asus 4 max pro. Màk nghe nói máy asus 4 max gần ra rồi. Đang chờ
18||#19285	khoảng bao lâu có hàng hay có gia z fpt
18||#19300	Nếu chỗ khác còn thì có thể chuyển về hải phòng không shop ?
18||#19308	adm cho hỏi mình đặt hàng rồi nhưng ko muốn mua nữa để đợi máy khác .vậy giờ mình có thể rút cọc .hoặc chuyển số tiền cọc đó sang mua phụ kiện khác được không
18||#19309	Minh rút lại cọc 500k được ko shop hoặc chuyển 500k mua phụ kiện
18||#19310	Minh da dat hang,co ten trong danh sach nhung chua dat coc...nhung vi li do tai chinh nen minh xin huy don dat hang,cho thoi gian sau minh se mua...0988616197
18||#19311	Co tin nhan xac nhan don hang tu shop la minh da dat hang thanh cong phaj khong shop
18||#19312	Nếu đặt cọc rồi mà không được duyệt trả góp thì sao bạn?
18||#19313	Cho mình hỏi là mua trả góp thì đặt cọc có được quà k vậy fpt shop
18||#19316	Minh dat hang,neu luc co dt ma minh khong ung y thi co the khong lay cung duoc dung ko shop
18||#19317	Thấy bảo mai mới cho đặt hàng,giờ ra đặt luôn có được ko nhỉ
18||#19319	Mấy món quà có quy đổi ra tiền được không ai? Thời gian dự kiến đặt hàng là khi nào ạ ?
18||#19345	chẹp, ghé fpt góc cmt8 vvt xem nhưng không được xài thử, chỉ cầm thôi à nên thiếu thuyết phục, fpt nghĩ sao ?
18||#19353	Cho hỏi hãng này của nước nào vậy ad?
18||#19356	nạp tiền fptshop.com .vn là nạp vào tài khoảng gì ạ
18||#19375	Đặt có chuyển về ko
18||#19380	Muốn xem ảnh điện thoại màu bleen/red
18||#19396	tao mua rồi và tao mua hồi lúc khoảng tháng 7 và tạo được tặng ốp lưng 500k !!!!!!!!!!!!
18||#19402	Wiko cua nuoc nao san xuat z ac
18||#19403	Ad cho em hoi e muon dat hang online,ma neu nhu e lai shop xem dt ma e thay k hài lòng thi e k mua dc k
18||#19412	Co khoang bao nhiêu chiếc vay anh
18||#19424	Cho em hỏi có cách nào gia tăng pin trên wiko upluse ko
18||#19425	Hotline của fpt shop là j ạ
18||#19429	có ảnh sản pham nay màu đỏ ko ạ
18||#19450	Màu Bleen là màu j ạ
18||#19475	Cho e xin địa chỉ shop ở Tuy Hoà???
18||#19477	Add cho hỏi làm sao mua dt với giá 2.499.000đ
18||#19481	xin chào , Mình là Vĩ ở hải phòng không biết địa chỉ của shop ở đâu để đến!!!
18||#19489	_Khẩu độ camera của máy? _Ở Tuy Hoà còn màu nào, địa chỉ chi nhánh?
18||#19500	Máy ở FPT Bến Lức (Long An) còn hàng không và có hộ trợ sạc pin nhanh không? (cảm ơn)
18||#19503	FPT Bến Lức (Long An) còn máy không? Có thẻ nhớ theo máy không, hay phải mua thêm?
18||#19509	Tuy Hoà có màu nào? Khuyết mãi đến hết ngày mai hay s?
18||#19511	Cho e hoi lở có hư hỏng thì sửa chửa o dau ạ ... Mất bn ngày ạ
18||#19520	Cho e hỏi là e mới mua cái này chưa đc 1 tháng e đã đưa trước 30% nhưng giờ e muốn bán và lấy tiền đó trả hết số còn lại có được không ?
18||#19528	Sóng từ -90 đến 100 dBm và 11 asu là mạnh hay yếu máy có bị gì k?
18||#19531	Fut co ban sim vina bung k?
18||#19536	cho hỏi e mua đt này đầu tháng nhưng không được khuyến mãi sim 4g vậy h e ra để mua sim được không vậy
18||#19547	Cho em hỏi trong hộp điện thoại có những gì ạ
18||#19558	nếu mua đóng hộp thì có phải trả thêm tiền không vì lần trước mình mua điện thoại mình phải trả thêm tiền
18||#19561	điện thoại này được sản xuất ở đâu vậy
18||#19564	Sao thấy người ta review mở hộp điện thoại này chính hãng có kèm ốp với miếng dán màn hình mà ctv bảo không v ạ? V là có hay k ạ?
18||#19570	Ý mình muốn hỏi là nếu mình mua hàng online rồi khi chuyển đến thì mình có được mở hộp ra xem rồi mới gửi tiền không?
18||#19574	Mua máy rồi ship COD thì khi nhận mình có được mở hộp ra xem qua hình thức máy ko bạn nhỉ?
18||#19575	Wiko san xuat cua hang nao?o ha dong co ban tra gop ko? Cho minh dia chi minh qua-.minh o ha dong
18||#19596	ĐT Wiko U Pulse sản xuất ở nươc nào vậy ?
18||#19599	Tất cả FPT đều có hay sao ? 0904108492
18||#19605	Cho hỏi hàng chính hãng ko. Bảo hành tn
18||#19609	Chào add. Tặng sim 4g + 1 tháng DATA .mình có cần nạp tiền để dk ko add
18||#19615	Có cái nào 1tr may ko anh?
18||#19616	5/10 mới là thứ Năm mà đã hết đặt Friday online , tưởng chờ tới ngày mai đặt chứ add ??
18||#19624	E ở phúc nhạc đồng nai ấy, e muốn mua và muốn nhận cái khuyến mãi còn 2tr7 mà kêu ko còn hàng 😂😂😂 , xuống long khánh thì xa quá mệt e , nhân viên fpt shop làm khó e
18||#19637	Minh dat hang onl rui khi den shop nhan may minh co the tra gop duoc ko ad
18||#19639	Mua Online thì FPT shop gần nhất giao à AD hay tận HCM giao về ạ
18||#19647	mua online hay tới trực tiếp cửa hàng đều có giá này hả shop?
18||#19658	máy nào mà từ tầm 3tr trở xuống mà choi đc liên quan dưới cấu hình thấp tốt nhất z ad
18||#19661	Wiko u pulse co may màu? Nếu bi hỏng co dễ thay phụ kiện? O vĩnh tường vĩnh phúc mua o đâu?
18||#19687	xuat xu o dau
18||#19705	Cho em hỏi ạ. ĐIện thoại đổi trả có được mua trả góp không ạ. Điện thoại bao nhiêu trở lên mới được trả góp ạ Em cảm ơn
18||#19709	Minh chắc mua cai nay bằng dược
18||#19728	Ad ơi đặt dùm em 1 chiếc màu đen đc k khi nào có em ra nhận ạ
18||#19734	hãng này của trung quốc hay đây vậy
18||#19741	Máy đổi trả còn dùng được vân tay ko ac
18||#19743	K bit gia re.ma ram lon vay may co chay noi k..
18||#19751	Muốn mua lại sản phẩm đổi trả mình muốn biết tên người trả đc k a
18||#19761	Coa giao hàng ra côn đảo k ad
18||#19762	Camerasaokhongchupduoc
18||#19765	Ước gì thanh điều hướng của con này nằm phía dưới màn hình.
18||#19770	Cho em hỏi là ở mặt sau điện thoại có 4 chỗ lồi ra là gì vậy. 4 miếm đồng chậm vào nắp sau a
18||#19787	Có gởi hàng ko ạ
18||#19799	Tôi mới mua con u pulse hơn 10ngày.tuần trước đang chơi zalo thì máy bị đứng một hồi lâu tự khởi động lại.đem đến cửa hàng nhân viên bảo chơi online lâu máy nóng thì bị vậy rồi nâng cấp phiên bản mới .Tôi đem về được một tuần đang nt zalo với bạn cũng đứng máy y vậy rồi tư khởi động lại.xin hỏi đó là do online nhiều máy nóng nó như vậy hay máy có vấn đê gì không
18||#19804	hi ad sao e thấy một số người trên youtube unboxing có tai nghe+cáp+cục sạc+1 miếng dán màn hình + ốp nhựa mà sao khi đọc comment chỉ có cáp với cục sạc thôi
18||#19807	Em ở gò vấp .Em muốn đặt mua 1 cái nhưng làm thế nào để trải nghiệm máy tận tay ạ.. chứ coi hình ảnh chưa chắc cho lắm.mà mua có phụ kiện gì k ạ
18||#19821	Mới mua 2 tuần.dang dùng zalo thì dưng máy.tăt nguồn.phải bấm phím khởi động lại tầm 5phủt máy khởi động lại.tình trạng này mới xuất hiện một lần.xin hỏi nó có bị gì không ạ
18||#19832	Máy có ship tận nơi không ạ . E ở bảo lâm lâm đồng thì giá ship bao nhiêu và mấy ngày có hàng ạ
18||#19854	Có ốp lưng ko? Mua trả góp ko tham gia phí bảo hiểm đuợc không
18||#19869	Mình muốn mua nhưng ở Thái Nguyên tạm hết hàng, mình muốn đặt hàng qua điện thoại đc ko
18||#19876	Wiko U Pulse san xuất từ đâu
18||#19878	Điện thoại wiko xuất xứ tu quoc gia nào vậy.
18||#19901	Duoc doi lay lien hay phai gửi ve hang xac minh moi duoc doi
18||#19903	shop giúp t gửi máy này về cửa hàng cửa ông quảng ninh nhé.tầm 20/8 t ra cửa hàng lấy đk k ạ
18||#19908	Mới mua hôm qua được khuyến mãi 100 ngàn mà sao không thấy rút thăm đi thái lan nhỉ
18||#19917	Muốn mua máu màu trắng gửi về quốc lộ 22 thi trấn trảng bàng được không
18||#19918	Bên shop có những màu nào ạ...với lại mua xong bên mình có bán ốp lưng hay bao da cho e nó luôn k shop?
18||#19949	Nếu mua online thì có ship free hk shop,,,với lại có màu bạc ko!!
18||#19951	Mifnu mua máy này ởchi nhánh bala hà đôg mình muorn mag vào kiểm tra lại máy ở Fbt Kim bài đc ko
18||#19963	giao hàng miễn phí tận nhà hay không ạ
18||#19964	Có quà tặng gì không ad. Bên shop có kinh doanh ốp lưng cho máy này không ạ
18||#19972	Còn hàng ở hà nội ko ad ơi, cho em xin địa chỉ đại lý Máy có chiến được Liên Quân ko ạ
18||#19976	Máy này là cũ hay ms vậy chính hãng hay xách tay có tiếng Việt ko chơi game Liên Quân có mượt ko
18||#20019	Mua điện thoai có ho tro mua sim mobibig k ak
18||#20030	Chao anh em đang sử dung đt wiko Robby em thấy đt OK,em đang dat mua thêm một cái đt bên shop mình, có điều nầy em muốn hỏi,em bi be mặt kính em thì không ra được của hàng để sữa chữa, vậy em có the gửi qua đường bưu điện được không a
18||#20035	Ban ship luon len Trung Chau minh dc ko .dc alo 0972592747
18||#20043	mình đặt hàng online tại cà mau nhưng hết hàng phải sao ạ
18||#20058	minh o hai duong muon mua may qua mang thi tien ship hang la bao nhieu
18||#20061	FPT co shop nao o campuchia ko ban
18||#20063	Thanh hóa địa chỉ nào bán a
18||#20065	Mình để cuối năm mua đc ko vậy
18||#20075	Con nay xuat xu o dau nhi
18||#20086	Cho hỏi nếu mình đặt máy chuyển về rồi mà xem không vừa ý không mua được không?
18||#20087	Cho e hỏi may nay thuoc hang nao san xuat vay .
18||#20089	Chip Snapdragon với chip MTK. Chip nào đáng dùng hơn
18||#20093	san pham co thong so ky thuat tot the sao gia lai trung binh nhu vay lieu dung co dc nhu thong so ky thuat tren khong
18||#20095	Đã mua ngày08/07 hôm nay đã có đồng hồ chưa số ĐH 10856570
18||#20096	Mình mua ONLINE được tặng quà là ốp lưng thông minh! Vậy mình ra cửa hàng nhận chiếc điện thoại và có được tặng quà ốp lưng không quản trị viên? Mình ra coi hàng,nếu không mua thì có sao không?
18||#20110	Tôi đặt hàng online,có được tặng quà là ốp lưng không ? Nếu tôi không đặt hàng ONLINE, thì đến tận cửa hàng mua điện thoại có được tặng quà khuyến mãi không ?
18||#20115	lúc sáng vào xem còn tặng vòng đeo tay bận quá không kịp đặt hàng bây giờ hết rồi khỏi mua hic
18||#20136	Cho e hoi neu cua hang gan cho da het hang thi minh dat online thi co khong ah
18||#20138	Giờ đặt online có nhận được quà không ad? Mình muốn mua ở hà nội thì chỗ nào còn a
18||#20145	neu o quảng ngãi mua online thi trong vong may ngay nhan hang vay
18||#20152	Vòng đeo thông minh là cái nào vậy ad còn hàng ko e muốn mua
18||#20163	phi van chuyen online dc tinh nhu the nao a
18||#20171	Ad cho xin thông tin đồng hồ tặng kèm đc ko a
18||#20176	Dòng máy này nước nào sx vậy bạnbạn,Ở Hà Tĩnh có hàng không?
18||#20177	Dong ho thong minh la gi.
18||#20180	Vậy QTV giới thiệu cho tôi 1 cái đt có sữ dụng kính cường lực ,chơi đc liên quân .gía khoản 3tr trở lại đi .cảm ơn QTV
18||#20182	Máy này có sử dụng 4G đc ko ạ ? . Mua thì có đc tặng phụ kiện ko ạ ?
18||#20185	Dt này có hàng ở thị xã đồng xoài, bình phước không qtv? Ưu và nhược điểm của máy này là gì vậy? Máy có nhét vừa túi quần tây không hoặc quần jean? Màn hình 5.5 inch
18||#20192	fpt đông hưng thái bình bao giờ có vậy bạn, mình tiện xuống lấy it đồ khuyến mại trước mua đồ ở shop chưa lấy
18||#20193	Sản phẩm này khi bị hỏng pin thì muốn thay phải làm sao.. Có thể nhờ FPT không?
18||#20209	Lam sao de biet khi nao hang ve tai fpt ạ
18||#20211	Trang chủ của wikomobile Việt Nam còn chưa có thông tin gì mà sao ở đây sắp có hàng hay vậy.
18||#20221	liệu tháng 7 có hàng k ạ.QTV cho e biết với a.e cảm ỏn
18||#20230	Cho mình hỏi PMH có áp dụng trực tiếp lên sản phẩm được ko vậy? Nếu được chắc lát ra hốt liền
18||#20240	hỏi nè. nói góp 0% thực ra là có lãi trong đó. Như vậy quảng cáo 0% là ở chỗ nào?
18||#20255	Minh ten kien mua 1 dt gia ca vua fai de di chay xe grab ko dt nao du manh va ben de di lam ban tu van giup minh voi nha com on
18||#20256	Máy e bật chế độ im lặng rồi bật lại chế độ âm Thanh thì gọi đến k đổ chuông là đạo ạ.bị lần thứ hai rồi lần trước khởi động lại mới đc
18||#20267	Ad oi nếu em muốn mua Huawei y5 2017 mà em đưa trước 2 triệu tới tháng sau em thanh toán bao nhiêu ạk
18||#20273	Cho e hỏi,pin lúc tối ngủ là 59%,sáng ra còn 46%,đổi cái khác đc ko ạ,trước khi ngủ e đã tắt phần mềm chạy ngầm rồi
18||#20281	em muốn mua huawel y6II ạ. đặt hàng e 1 cái ạ e ở gia lai
18||#20284	Tại sao giờ huawei lại dùng chíp của mediatex tưởng huawei se mãi dùng chip mh sxuat chứ..thất vọng quá vs gia này mua y62 con tốt hơn
18||#20291	Cho eM HOI EM MOI MUA MAY HAWAII Y5 2017 MA CHOI GAME CUNG NONG SAC PIN CUNG NONG LA SAO CO PHAI NO DA BI LOI KHONG MINH NEN DOI MAY MOI DUOC KHONG
18||#20298	Mới tặng bạn gái em này, bạn gái mê tít luôn, giờ ôm điện thoại tự sướng thôi, bỏ em 1 xó rồi :(.
18||#20300	Mê chụp ảnh mà bỏ số tiền lớn ra mua điện thoại cũng ngại, hổm đi FPT thấy em Huawei Y5 2017 này đẹp mà giá cũng đẹp, tậu về, giờ mê chụp ảnh bằng ẻm luôn, chụp bao đẹp nhé.
18||#20313	Cho e hỏi máy của e bị hở sáng phía trên màn hình và bị lỗi phần mềm nhiều khi ứng dụng bị dừng đồng loạt không thể truy cập vô màn hình chính ạ. E có thể đổi trả máy k vì e mua mới chỉ có 1 tuần ạ
18||#20318	cho em hỏi PMH này có áp dụng lên sản phẩm ko ạ?
18||#20319	cho em hỏi PMH này có áp dụng trực tiếp lên sp dc ko ạ?
18||#20320	PMH có đc trừ vào giá ko ad
18||#20328	Cho mình hỏi dán lại màn hình điện thoại có được miễn phí hay giảm giá không?
18||#20329	Máy đc tặng pmh v kg lấy pmh có đc trừ tiền kg ạ..
18||#20331	Tặng pmh v e kg lấy có đc trừ tiền kg ạ..
18||#20332	tất ca điện thoại mobiistar zumbo s2 điều ko sài dc kính cường lực hay là chỉ riêng điện thoại mobiistar zumbo s2 của tui làklà ko sài dc kính cường lực , z cho hỏi là nếu chỉ riêng điện thoại của tui ko sài dc kính cường lực zậy tui có dc đổi trả theo trương trình máy bị lỗi ko
18||#20333	sao dt mobiistar zumbos2 của tui lại ko sư dung dc kình cường lực zậy, khi sài kính cương lực thì thì màng hình cảm ứng rất mượt chỉ có 3 phím ơ dưới màng hình phím home phím quay về là sư dung khoảng tư 5 phút đến 10 phút là cứng đơ ko thoát dc , mà màng hình cảm ứng ơ phần trên thì vẫn bình thường , mình đã thây 3 miếng dán cường lực rồi mà vẫn ko sài dc , khi tháo kiến cường lực ra thì điện thoại hoạt động bình thường , tui chỉ mua máy này mới dc 1 ngày thôi , z cho hỏi điện thoại của tui bi lỗi gi zậy
18||#20348	Cho mình hỏi cách tạo 2 sim và thẻ nhớ vào1 lần ở máy zumbo s2
18||#20349	Của hàng mình nằm ở thành phố nào ạ
18||#20361	Ban ở an khe hả
18||#20374	pin 3000 dùng trung bình được ngày không
18||#20376	Cx đu 18+ co dx kk v
18||#20390	Điện thoại này công nghệ của việt nam hay trung quốc vậy add, mình không hỏi sản xuất ở đâu nhé. thank!
18||#20406	Bên FPT mấy giờ đóng cửa vậy
18||#20420	E tưởng trong vòng 30 ngày đổi trả thoải mái k mất gì
18||#20423	Còn dp mobiistar không ạ ??
18||#20425	Pin sài 2h hết từ 100% xuống 0%. Mà sạc tới 4h30 là bình thường hay sao ạ
18||#20433	Cho hỏi sao mình đổi máy đã trả 20% rồi mak s phải đóng mỗi tháng 5% nữa.. Đó là phí j
18||#20434	Anh ơi. Máy em sắc sảo nghe tiếng tit tit o cuc sac voi dien thoai trong khi sac. doi luc bi sup nguon vay em phai lam sao ha anh
18||#20436	may minh mua duoc hai thang ma gio luan cam ung codoi may khac duoc khong
18||#20437	cho hoi fpt gui bao hanh co cho muon may dung khong vay
18||#20441	Sao camera của Mình bị vỡ hình vậy
18||#20445	Cho e hỏi tại sao điện thoại e chụp hình ảnh nó bị nhiễu hạt là sao vậy shop. Chỉ e luôn cách khắc phục. Tks ạ
18||#20452	giữ máy ở shop đến khi nào hết hạn ạ?
18||#20460	Meizu m3 note tham dinh loi xong chua z....01667737477
18||#20467	E trả góp 2 cái rồi có thể trả góp thêm cái nx ko ạ
18||#20470	Cho mình hỏi PMH 200,000đ có được trừ thẳng vào giá khi mua không?
18||#20471	Mobiistar zumbo s2 choi game nang muot ko,thoi gian pin khoang may tieng,chip MT 6737T co thich hop de choi game ko
18||#20476	Mobiistar zumbo s2 choi game nang nhu asphalt 8 lien quan co hien thong giat lat ko, thoi gian pin su dung nhu coi youtube luot fb khoang may tieng,may co dap ung cac nhu cau cac tac vu hang ngay ko..
18||#20479	Ginô tống trong phim cấp ba có phải sài đt nay hok vậy qtv
18||#20483	Cắm tai nghe ở màn hình chính thì nghe bình thường.. Còn tắt màn hình đi hoặc vào 1 ứng dụng nào đó thì âm thanh có tiếng rè rè.. éo hiểu nổi?
18||#20489	Mình kh lấy PMH có được giảm 200k kh ?
18||#20492	san pham nay phieu mua hang neu khong su dung cung duoc tru vao gia san pham phai khong ak?
18||#20494	A ơi máy của e rat nhanh het pin. E có thể đổi máy moi hk ạ. E ms mua được 2 ngày
18||#20496	đặt hàng có phải mất phí j ko
18||#20498	Wtv cho mình hỏi sao máy mình pin tục rất nhanh, khoản một 2phut là hết 1/💯 vậy mấy mình có được đôi sản phẩm khác ko, mình mới lấy máy hơi chiều tại cả màu, máy đôi trả,có bao hành trả lời giúp mình với, cảm ơn
18||#20500	Qtv cho mình hỏi hồi tối mình có đặt một máy đổi trả ở cà mau sản phẩm là mobiistar s2, số điện thoại mình đặt hàng là 0919232011, kiểm tra giúp mình bây giờ mình đến đâu để nhận hàng
18||#20503	mk đến cửa hàng mua có đc giảm 200.000đ ko
18||#20504	chon 1 thoi
18||#20506	cho e hỏi nên mua máy ios hay apk
18||#20513	Minh mua dt đc môt tuần ,mà sao ko sac đày pin dc,chỉ đc 99% thôi,mong shop chỉ cach khác phục
18||#20516	AD cho mình hỏi mấy jumbo S2 của mình loa ngoài chỉ nghe có 1 bên loa bên phải, thế có phải là lỗi loa bên trí không AD
18||#20519	khuyen mai SDP chung nao moi het hang vay ad
18||#20530	Ad ơi mua trả góp làm giấy tờ vs nhận dt trong ngày xong ko ạk
18||#20532	fpt shop khóm 7 thị trấn sông đốc trần văn thời ca mau chủ nhật có mở cửa không ad
18||#20538	Seeding lại: Dù cùng tầm giá nhưng hình như Zenfone live mới ra của Asus có vẻ được nhiều người ưa chuộng hơn thì phải. Thấy bạn bè mình dùng nhiều lắm, cả người nổi tiếng cũng dùng nữa
18||#20539	Trước giờ mình ít có thiện cảm với hàng TQ lắm, vì hơi bị nghi ngờ phần chất lượng á. Nên mỗi khi có mua gì thì sẽ cân nhắc dữ lắm. Nếu so về giá thì lựa chọn Zenlive của Asus chắc sẽ an toàn hơn. Hàng Đài Loan vậy chứ xài bền có tiếng. Thêm cái nữa là khó tìm ra đt nào có giá này mà camera sau 13 chấm lắm, mọi người nên cân nhắc điểm này nè
18||#20540	Hàng TQ trước giờ ít được lòng bà con lắm. Nếu mọi người vẫn chuộng hàng có giá cả hợp lí nhưng vẫn đảm bảo chất lượng có thể cân nhắc chọn sản phẩm của Đài Loan nha, bền lắm á
18||#20545	Thân chao a, a cho e hỏi là bên dưới máy này có 2 hàng loa không biết nó có sử dụng đươc hết hay chỉ là loa đơn để làm kiểu thôi. Thân gửi đến a ạ.
18||#20547	khi áp dụng mã giảm giá có được sử dụng trả góp k ạ?
18||#20552	giờ minh đặt hàng có đượ tặng j` ko ạ
18||#20557	Nếu trực tiếp dến shp làm thủ tục trả góp thì bao lâu mới được nhận máy
18||#20564	Ad cho hỏi chế độ bảo hành và khi mua máy bằng tiền mặt có cần giấy tờ gì không? FPT có dán cường lực cho mobistar zumbo s2 k?? Trong hộp gồm có những gì ??
18||#20569	khi mua đt cần đem theo giấy tờ j k
18||#20570	mã giảm giá trong email mình mua co đc giảm giá k
18||#20571	Mình có mã giảm 30% mua trả góp có được không ad
18||#20578	Laizumbo s2 cảm ứng nhảy lung tung
